"%s was successfully added to your shopping cart.","%s προστέθηκε επιτυχώς στο καλάθι σας."
"Maximum qty allowed for Shipping to multiple addresses is %s","Η μέγιστη επιτρεπόμενη ποσότητα για Αποστολή σε πολλαπλές διευθύνσεις είναι "
"Move to Wishlist","Μετακίνηση στα Επιθυμητά"
"My Account","Ο Λογαριασμός μου"
"My Cart","My Cart"
"My Cart (%s item)","Το Καλάθι μου (%s αντικείμενα)"
"My Cart (%s items)","Καλάθι (%s προϊόντα)"
"My Cart Link","Σύνδεσμος στο Καλάθι μου"
"New Address","Νέα Διεύθυνση"
"New Condition","New Condition"
"Order #","Order #"
"Order Review","Ανασκόπηση Παραγγελίας"
"Order Success","Παραγγελία επιτυχής"
"Other items in your order","Other items in your order"
"Password","Κωδικός"
"Payment Failed Email Reciever","Payment Failed Email Reciever"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Template","Payment Failed Template"
"Payment Information","Στοιχεία Πληρωμής"
"Payment Method","Μέθοδος Πληρωμής"
"Payment method is not defined","Δεν προσδιορίστηκε μέθοδος πληρωμής"
"Place Order","Κάντε Παραγγελία"
"Please <a href=""%s"">continue shopping</a>.","Παρακαλούμε <a href=""%s"">συνεχίστε τις αγορές σας</a>."
"Please agree to all Terms and Conditions before placing the order.","Please agree to all Terms and Conditions before placing the order."
"Please agree to all Terms and Conditions before placing the orders.","Please agree to all Terms and Conditions before placing the orders."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Παρακαλούμε εισάγετε σωστό ταχ. κωδικό. Π.χ. 54645"
"Please log in below:","Παρακαλούμε συνδεθείτε παρακάτω:"
"Please select region, state or province","Παρακαλούμε επιλέξτε νομό ή επαρχία"
"Please select shipping address for applicable items","Please select shipping address for applicable items"
"Please select shipping methods for all addresses","Παρακαλούμε επιλέξτε μεθόδους αποστολής για όλες τις διευθύνσεις"
"Price","Τιμή"
"Proceed to Checkout","Συνέχεια στην Ολοκλήρωση Αγορών"
"Product","Προϊόν"
"Product Name","Όνομα Προϊόντος"
"Product does not exist","Το προϊόν δεν υπάρχει"
"Qty","Ποσ."
"Quote Lifetime (days)","Διάρκεια Εκτίμησης (ημέρες)"
"Recently added item(s)","Είδη που προστέθηκαν πρόσφατα"
"Register","Εγγραφή"
"Register and save time!","Εγγραφείτε και γλιτώστε χρόνο!"
"Register to Create an Account","Εγγραφείτε για να Δημιουργήσετε έναν Λογαριασμό"
"Register with us for future convenience:","Εγγραφείτε για μελλοντική ευκολία:"
"Remove","Αφαίρεση"
"Remove Item","Αφαίρεση Προϊόντος"
"Remove Product","Αφαίρεση Προϊόντος"
"Remove item","Remove item"
"Review Order","Ανασκόπηση Παραγγελίας"
"Review Order - %s","Ανασκόπηση Παραγγελίας - %s"
"Sales","Sales"
"Save Condition","Save Condition"
"Save in address book","Αποθήκευση στο βιβλίο διευθύνσεων"
"Select Address","Επιλογή Διεύθυνσης"
"Select Addresses","Επιλογή Διευθύνσεων"
"Select Shipping Method","Επιλογή Μεθόδου Αποστολής"
"Select State/Province...","Επιλογή Νομού/Δήμου..."
"Select a billing address from your address book or enter a new address.","Επιλέξτε μία διεύθυνση χρέωσης από το βιβλίο διευθύνσεων σας ή εισάγετε μία νέα διεύθυνση."
"Select a shipping address from your address book or enter a new address.","Επιλέξτε μία διεύθυνση αποστολής από το βιβλίο διευθύνσεων σας ή εισάγετε μία νέα διεύθυνση."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Send to","Αποστολή σε"
"Ship to Multiple Addresses","Αποστολή σε πολλαπλές διευθύνσεις"
"Ship to different address","Αποστολή σε διαφορετική διεύθυνση"
"Ship to this address","Αποστολή σε αυτήν τη διεύθυνση"
"Shipping Address","Διεύθυνση Αποστολής"
"Shipping Information","Στοιχεία Αποστολής"
"Shipping Method","Μέθοδος Αποστολής"
"Shipping Methods","Μέθοδοι Αποστολής"
"Shipping method has not been selected yet","Ακόμα δεν έχει επιλεγεί μέθοδος αποστολής"
"Shipping selection is not applicable","Shipping selection is not applicable"
"Shipping to","Αποστολή σε"
"Shopping Cart","Καλάθι Αγορών"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Shopping Cart is Empty","Το Καλάθι σας είναι Άδειο"
"Show Content as","Show Content as"
"Some of the products you requested are not available in the desired quantity","Κάποια από τα προϊόντα που επιλέξατε δεν είναι διαθέσιμα στην επιθυμητή ποσότητα"
"Some of the products you requested are unavailable","Κάποια από τα προϊόντα που επιλέξατε δεν είναι διαθέσιμα"
"Sorry, Onepage Checkout is disabled.","Sorry, Onepage Checkout is disabled."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, guest checkout is not enabled. Please try again or contact store owner."
"Sorry, no quotes are available for this order at this time.","Συγγνώμη, δεν υπάρχουν διαθέσιμες εκτιμήσεις για αυτή τη παραγγελία αυτή τη στιγμή."
"State/Province","Νομός/Δήμος"
"Status","Status"
"Store View","Store View"
"Street Address","Διεύθυνση"
"Street Address ","Street Address "
"Submitting order information...","Γίνεται υποβολή στοιχείων παραγγελίας..."
"Subtotal","Μερικό Σύνολο"
"Telephone","Τηλέφωνο"
"Terms and Conditions","Terms and Conditions"
"Terms and Conditions Information","Terms and Conditions Information"
"Terms and conditions","Terms and conditions"
"Text","Text"
"Thank you for your purchase!","Ευχαριστούμε για την παραγγελία σας!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Υπάρχουν<a href=""%s""><strong>%s αντικείμενα</strong></a> στο καλάθι σας."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Υπάρχει<a href=""%s""><strong>1 αντικείμενο</strong></a> στο καλάθι σας."
"There is already a customer registered using this email address","Υπάρχει ήδη ένας εγγεγραμμένος πελάτης με αυτό το email"
"There was an error processing your order. Please contact us or try again later.","Υπήρξε ένα σφάλμα κατα την επεξεργασία της παραγγελίας σας. Παρακαλούμε επικοινωνήστε μαζί μας ή δοκιμάστε ξανά αργότερα."
"This condition no longer exists","This condition no longer exists"
"Total","Total"
"Total for this address","Σύνολο για αυτήν τη διεύθυνση"
"Unit Price","Τιμή Μονάδος"
"Update Qty &amp; Addresses","Ενημέρωση ποσοτήτων &amp; Διευθύνσεων"
"Update Shopping Cart","Ενημέρωση Καλαθιού Αγορών"
"Update Total","Ενημέρωση Συνόλου"
"Use Billing Address","Χρήση της διεύθυνσης χρέωσης"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Επεξεργαζόμαστε την παραγγελία σας και σύντομα θα λάβετε ένα email με τις λεπτομέρειες της αγοράς σας. Μόλις η παραγγελία σας αποσταλεί θα λάβετε ένα νέο email με έναν σύνδεσμο για να παρακολουθείτε την πρόοδό της."
"You have no items in your shopping cart.","Δεν υπάρχουν προϊόντα στο Καλάθι Αγορών σας!"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Θα λάβετε ένα email για επιβεβαίωση της παραγγελίας σας με λεπτομέρειες τής και με έναν σύνδεσμο για να παρακολουθείτε τη πρόοδό της."
"Your Checkout Progress","Η Εξελιξη της Αγοράς σας"
"Your order # is: %s","Το # της παραγγελίας σας είναι: %s"
"Your order # is: <a href=""%s"">%s</a>","Your order # is: <a href=""%s"">%s</a>"
"Your order has been received","Η Παραγγελία σας έχει ληφθεί"
"Your order number is ","Your order number is "
"Zip/Postal Code","Ταχυδρομικός Κωδικός"
"osCommerce Orders","osCommerce Orders"
"separate by "",""","separate by "","""
"My Cart","Καλαθι Αγορων"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Checkout","Checkout"
"Shopping Cart is Empty","Shopping Cart is Empty"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
