"# of Use","# van gebruik"
"%1$s incl tax.","%1$s incl.BTW"
"%s - %s","%s - %s"
"%s Item(s)","%s artikel(en)"
"(Copy data from: %s)","(Data kopi&euml;ren van: %s)"
"Customers for alert %s was successfuly added to queue","Klanten voor mededeling %s zijn met succes aan rij toegevoegd"
"Data Type for Saving in Database","Datatype voor opslaan in database"
"Date","Datum"
"Date & Time Custom Options","Date & Time Custom Options"
"Date Subscribed","Datum inschrijving"
"Date fields order","Date fields order"
"Datetime","Datetime"
"Decimal","Decimaal"
"Decimal Number","Decimaal nummer"
"Declare attribute value saving scope","Attribuaatwaarde opgeven voor opslaan van scope"
"Default Qty","Standaard-aantal"
"Default Values","Standaardwaarden"
"Default price","Standaard-prijs"
"Default value","Standaard-waarde"
"Delete","Verwijder"
"Delete Attribute","Attribuut verwijderen"
"Delete Attribute Set","Attributenset verwijderen"
"Delete Category","Categorie verwijderen"
"Delete Option","Optie verwijderen"
"Delete Row","Rij verwijderen"
"Delete Search","Zoekactie verwijderen"
"Delete Selected Group","Geselecteerde groep verwijderen"
"Delete category","Categorie verwijderen"
"Delete product","Product verwijderen"
"Depends on design theme","Depends on design theme"
"Design","Ontwerp"
"Disabled","Uitgeschakeld"
"Display in Suggested Terms","In voorgestelde termen tonen"
"Double click on a group to rename it","Dubbelklik op een groep om te hernoemen"
"Double click on above image to view full picture","Dubbelklik op de afbeelding voor groot formaat"
"Dropdown","Dropdown"
"Duplicate","Dupliceren"
"Duplicate website tier price customer group and quantity.","Dubbele staffel op website voor klantengroep en aantal"
"Duplicate website, country and state tax found.","Dubbele website, land en BTW gevonden"
"Edit","Wijzigen"
"Edit Attribute Set '%s'","Attributenset '%s' wijzigen"
"Edit Product Attribute","Productattribuut wijzigen"
"Edit Product Attribute ""%s""","Productattribuut  ""%s"" wijzigen"
"Edit Search","Zoekactie wijzigen"
"Edit Search '%s'","Zoekactie '%s' wijzigen"
"Email","E-mail"
"Email to a Friend","E-mail naar een vriend"
"Empty","Leeg"
"Enabled","Ingeschakeld"
"Error during retrieval of option value: %s","Fout tijdens opvragen van optiewaarde: %s-"
"Error while adding customers for %s alert. Message: %s","Fout tijdens toevoegen van klanten voor %s melding. Bericht: %s"
"Error while saving this group. Group with the same name already exists.","Fout tijdens opslaan van deze groep. Er bestaat al een groep met deze naam."
"Error while saving this group. Please try again later.","Fout tijdens opslaan van deze groep. Probeer later nog eens a.u.b."
"Exclude","Sluit uit"
"Expand All","Alles uitklappen"
"Failed","Mislukt"
"Failed to move file: %s","Verplaatsen van bestand %s is mislukt"
"Feature Products","Kenmerk producten"
"File options format is not valid","File options format is not valid"
"File upload failed","File upload failed"
"Filter model name must be declared","Naam van filtermodel moet worden opgegeven"
"Filter must be as object. Set correct filter please","Filter moet een object zijn. Stel het goede filter in a.u.b."
"Filterable (no results)","Filterbaar (geen resultaten)"
"Filterable (with results)","Filterbaar (met resultaten)"
"Filters must be as array","Filters moet als array zijn"
"First Name","Voornaam"
"Fixed","Vast"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module."
"For internal use. Must be unique with no spaces","Voor intern gebruik. Moet uniek zijn, zonder spaties"
"For reindex enabled product(s) you need specify store or product","Om de producten te her-indexeren moet u een winkel of product specificeren."
"Frontend","Front-end"
"Frontend Model","Front-end model"
"Frontend Properties","Eigenschappen front-end"
"Gallery","Galerij"
"General Information","Algemene Informatie"
"Get special price","Haal aanbiedingsprijs op"
"Global","Systeem"
"Globally Editable","Systeembreed bewerkbaar"
"Go to Home Page","Ga naar Home"
"Grid","Foto-tabel"
"Grouped Product","Gegroepeerd product"
"Groups","Groepen"
"Home","Home"
"ID","ID"
"ID: %s","ID: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","If you do not specify an option value for a specific store view then the default (Admin) value will be used."
"Image","Afbeelding"
"Image content is not valid base64 data.","Afbeeldingsinhoud bevat geen geldige base64 gegevens"
"Image file not found","Afbeelding-bestand niet gevonden"
"Image not exists","Afbeelding bestaat niet"
"Image not specified.","Afbeelding niet gespecificeerd."
"Image type and information need to be specified for each store view.","Afbeeldings-type en -gegevens moeten voor elk winkelzicht apart worden opgegeven."
"In Stock","In voorraad"
"In stock","In voorraad"
"In stock.","In voorraad"
"Incl. Tax","Incl. BTW"
"Input Type","Type invoerveld"
"Input Validation for Store Owner","Invoer-validatie voor winkeleigenaar"
"Integer","Integer"
"Integer Number","Integer getal"
"Invalid Tier Prices","Ongeldige staffelprijzen"
"Invalid attribute %s","Invalid attribute %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Ongeldige attribuut-optie opgegeven voor attribuut %s (%s), record wordt overgeslagen"
"Invalid attribute set specified, skipping the record","Ongeldige attributenset opgegeven, record wordt overgeslagen"
"Invalid block: %s","Ongeldig blok: %s"
"Invalid category","Ongeldige categorie"
"Invalid category IDs","Ongeldig categorie-ID"
"Invalid image file type","Ongeldig type afbeeldingsbestand"
"Invalid image type.","Ongeldig afbeeldingstype"
"Invalid option id specified for %s (%s), skipping the record","Ongeldig optie-ID opgegeven voor %s (%s), record wordt overgeslagen"
"Invalid product type specified, skipping the record","Ongeldig producttype opgegeven, record wordt overgeslagen"
"Invalid store specified","Ongeldige winkel opgegeven"
"Invalid store specified, skipping the record","Ongeldige winkel opgegeven, record wordt overgeslagen"
"Inventory","Voorraad"
"Is Default","Is standaard"
"Is Required","Is verplicht"
"Items %s to %s of %s total","Artikelen %s tot %s van %s in totaal"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Artikelen die u niet wilt tonen in de catalogus of zoekresultaten, geeft u de status 'Uitgeschakeld' in de betreffende winkel"
"Label","Label (Alt-tag)"
"Last Name","Achternaam"
"Last Notification","Laatste melding"
"Learn More","Meer info"
"Length of text is too long","De tekst is te lang"
"Letters","Letters"
"Letters(a-zA-Z) or Numbers(0-9)","Letters (a-z A-z) of getallen (0-9)"
"Line %d, Email: %s","Regel %d, E-mail: %s"
"Line %d, SKU: %s","Regel %d, artikelnr: %s"
"Link (Related, Up sell, Cross sell)","Link (Verwant, Up-selling, Cross-selling)"
"Link product not exists.","Link-product bestaat niet."
"List","Lijst"
"List Mode","Lijstweergave"
"Manage Attribute Sets","Beheer attributensets"
"Manage Attributes","Beheer attributen"
"Manage Catalog Categories","Beheer catalogus-categorie&euml;n"
"Manage Categories","Beheer categorie&euml;n"
"Manage Label / Options","Beheer label / opties"
"Manage Options (values of your attribute)","Beheer opties (waarden van uw attribuut)"
"Manage Product Attributes","Beheer productattributen"
"Manage Product Sets","Beheer productensets"
"Manage Products","Beheer producten"
"Manage Stock","Voorraad beheren"
"Manage Titles (Size, Color, etc.)","Beheer titels (grootte, kleur, etc)"
"Max Characters","Max tekens"
"Maximal Depth","Maximale diepte"
"Maximum Image Size","Maximum Image Size"
"Maximum Qty Allowed in Shopping Cart","Maximaal aantal in winkelwagen"
"Maximum image height","Maximum image height"
"Maximum image width","Maximum image width"
"Maximum number of characters","Maximaal aantal tekens"
"Media Image","Media-afbeelding"
"Minimum Lines Per Page","Minimum Lines Per Page"
"Minimum Qty Allowed in Shopping Cart","Minimaal aantal  in winkelwagen"
"Minimum Qty for Item's Status to be Out of Stock","Grens-aantal voor status ""Niet in voorraad"""
"Missing SKU, skipping the record","Artikelnummer ontbreekt, record wordt overgeslagen"
"More Views","Meer afbeeldingen"
"Move","Verplaatsen"
"Move category in tree","Categorie verplaatsen in menu"
"Multiple Select","Meervoudige selectie"
"Name","Naam"
"Name In %s","Naam in %s"
"Name<br/>(For internal use)","Naam:<br />(voor intern gebruik)"
"New Category","Nieuwe categorie"
"New Product","Nieuw product"
"New Product Attribute","Nieuw product-attribuut"
"New Products","Nieuwe producten"
"New Search","Nieuwe zoekactie"
"New Set Name","Nieuwe set-naam"
"Next","Volgende"
"No","Nee"
"No image","Geen afbeelding"
"No layout updates","Geen layout-updates"
"No options of this product are available.","Er zijn geen opties voor dit product beschikbaar"
"No product collections found","Geen productverzamelingen gevonden"
"None","Geen"
"Not shared with other products","Niet gedeeld met andere producten"
"Notify Low Stock RSS","RSS voor melding weinig voorraad"
"Notify for Quantity Below","Melden bij aantal lager dan"
"Nowhere","Nergens"
"Number of Uses","Aantal keer gebruikt"
"Number of results<br/>(For last time placed)","Aantal resultaten<br />(voor de laatste keer geplaatst)"
"OR","OF"
"Old Price:","Oude prijs:"
"Option validation failed to add product to cart","Option validation failed to add product to cart"
"Option:","Optie:"
"Options Control","Beheer opties"
"Options is required","Opties is verplicht"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Out of Stock","Niet in voorraad"
"Out of stock","Niet in voorraad"
"Out of stock.","Niet in voorraad."
"PM","PM"
"Page Title Separator","Scheidingsteken paginatitel"
"Page:","Pagina:"
"Parent Category","Hogere categorie"
"Pending","Wachtende"
"Pending Reviews RSS","RSS van wachtende reviews"
"Percentage","Percentage"
"Please add rows to option.","Voeg rijen aan optie toe a.u.b."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Voorzichtig! Zodra u op een rij klikt, worden de pakketgegevens van het geselecteerde bestand geladen en gaan alle formuliergegevens die niet zijn opgeslagen, verloren!"
"Please click on Close Window button if it won't be closed automatically","Klik op  ""Venster sluiten"" als dit niet automatisch gebeurt."
"Please enter a new group name","Geef een nieuwe groepnaam op a.u.b."
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Ververs de ""Catalogus Rewrites"" en de ""Indexen van gelaagde navigatie"" a.u.b. in Systeem -> <a href=""%s"">Cache Management</a>"
"Please select  items","Selecteer artikelen a.u.b."
"Please select one or more attributes.","Selecteer een of meer attributen a.u.b."
"Please select product(s)","Selecteer producten a.u.b."
"Please select products for attributes update","Selecteer producten voor attributen-update a.u.b."
"Please select static block ...","Selecteer statisch blok a.u.b..."
"Please set up merge date/time .","Please set up merge date/time ."
"Please specify date required option(s)","Please specify date required option(s)"
"Please specify the product option(s)","Specificeer de productoptie(s) a.u.b."
"Please specify the product required option(s)","Specificeer de verplichte productoptie(s) a.u.b."
"Please specify the product(s) quantity","Specificeer het aantal producten a.u.b."
"Please specify time required option(s)","Please specify time required option(s)"
"Please, use four-digit year format","Please, use four-digit year format"
"Position","Positie"
"Position In Layered Navigation","Positie in gelaagde navigatie"
"Position of attribute in layered navigation block","Positie van attribuut in gelaagde-navigatieblok"
"Prev","Vorige"
"Previous","Vorige"
"Price","Prijs"
"Price Type","Prijstype"
"Price values for options should be specified in system base currency.","Prijzen voor opties moeten worden opgegeven in de basis-valuta"
"Price:","Prijs:"
"Print This Page","Print deze pagina"
"Problem saving the collection, aborting. Error: %s","Probleem bij opslaan van verzameling. Magento sluit af. Fout: %s"
"Product","Product"
"Product %s successfully added to compare list","Product %s met succes toegevoegd aan vergelijkingslijst"
"Product %s successfully removed from compare list","Product %s met succes verwijderd van vergelijkingslijst"
"Product API","Product-API"
"Product Alerts","Product-waarschuwingen"
"Product Attribute","Product-attribuut"
"Product Attributes","Productattributen"
"Product Categories","Productcategorie&euml;n"
"Product Description","Productbeschrijving"
"Product Image Placeholders","Plaats van productafbeelding"
"Product Image Watermarks","Watermerken voor productenafbeelding"
"Product Images","Productafbeeldingen"
"Product Images API","Productafbeeldingen API"
"Product In Websites","Product in websites"
"Product Info Column","Kolom productgegevens"
"Product Information","Productgegevens"
"Product Name","Productnaam"
"Product Reviews","Product-reviews"
"Product Tags","Eigen tags"
"Product Tier Price API","Product Staffelprijs API"
"Product Type","Producttype"
"Product URL Suffix","Achtervoegsel product-URL"
"Product attribute sets API","Productattrubuten-sets API"
"Product attribute was successfully deleted","Productattribuut is met succes verwijderd"
"Product attribute was successfully saved","Productattribuut is met succes opgeslagen"
"Product attributes API","Productattributen API"
"Product collection expected","Productverzameling verwacht"
"Product deleted","Product verwijderd"
"Product duplicated","Product gedupliceerd"
"Product has required options","Product heeft verplichte opties"
"Product links API (related, cross sells, up sells)","Product-links API (verwant, cross-selling, up-selling)"
"Product listing sort by","Productlijst sorteren op"
"Product saving error.","Fout tijdens opslaan van product."
"Product saving error. ","Product saving error. "
"Product types API","Producttypen API"
"Product was successfully created.","Product is met succes aangemaakt."
"Product was successfully saved.","Product is met succes opgeslagen"
"Product with this combination of attributes already associated to configurable.","Product met deze attributencombinatie is al verbonden met configureerbaar."
"Products","Producten"
"Products Information","Gegevens producten"
"Products Reviews","Reviews"
"Products Sitemap","Sitemap van producten"
"Products only","Alleen producten"
"Products per Page on Grid default value","Toegestane waarden voor tabel-weergave van producten per pagina"
"Products per Page on List allowed values","Toegestane waarden voor producten per pagina in lijstweergave"
"Products per Page on List default value","Standaardwaarde voor producten per pagina in lijstweergave"
"Products per page on Grid allowed values","Toegestane waarden voor tabel-weergave van producten per pagina"
"Properties","Eigenschappen"
"Qty","Aantal"
"Qty Uses Decimals","Decimalen in aantalen"
"Qty for Item's Status to become Out of Stock","Minmum-aantal voor melding Op voorraad"
"Quick Create","Snel aanmaken"
"Quick Overview","Snel overzicht"
"Quick simple product creation","Snel een simpel product aanmaken"
"Records for ""","Records voor """
"Redirect","Doorsturen"
"Redirect URL","Doorstuur URL"
"Regular Price:","Normale prijs:"
"Related Products","Verwante producten"
"Remove","Verwijderen"
"Remove Product","Verwijder product"
"Remove Product From Websites","Product van websites verwijderen"
"Remove This Item","Dit artikel verwijderen"
"Remove product assignment","Productkoppeling verwijderen"
"Remove product image","Productafbeelding verwijderen"
"Remove product link","Productlink  verwijderen"
"Required","Verplicht"
"Reset","Herstellen"
"Results","Resultaten"
"Retrieve attribute data","Attribuutgegevens ophalen"
"Retrieve attribute list","Attributenlijst ophalen"
"Retrieve attribute options","Attribuutopties ophalen"
"Retrieve categories tree","Boom categorieën ophalen"
"Retrieve category attributes","Categorie-attributen ophalen"
"Retrieve category data","Categoriegegevens ophalen"
"Retrieve hierarchical tree","Hierarchische boom ophalen"
"Retrieve linked products","Haal gekoppelde producten op"
"Retrieve list of assigned products","Haal een lijst op van toegewezen producten"
"Retrieve one level of categories by website/store view/parent category","E&eactue;n niveau  van categorie&euml;n per website/winkelzicht/ouder-categorie"
"Retrieve product","Product ophalen"
"Retrieve product attribute sets","Productattributen ophalen"
"Retrieve product image","Productafbeelding ophalen"
"Retrieve product image list","Lijst productafbeeldingen ophalen"
"Retrieve product image types","Typenl productafbeeldingen ophalen"
"Retrieve product link type attributes","Attributen product-linktype ophalen"
"Retrieve product link types","Product-linktypen ophalen"
"Retrieve product tier prices","Staffelprijzen product ophalen"
"Retrieve product types","Producttypen ophalen"
"Retrieve products data","Productgegevens ophalen"
"Retrieve products list by filters","Gefilterde productenlijst ophalen"
"Review successfully deleted","Review is met succes verwijderd"
"Review was saved successfully","Review is met succes opgeslagen"
"Review was successfully saved","Review is met succes opgeslagen"
"Reviews","Reviews"
"Roll Over for preview","Mouse-over toont beeld"
"Root","Root"
"SKU","Artikelnummer"
"Save","Opslaan"
"Save And Continue Edit","Opslaan en verder bewerken"
"Save Attribute","Attribuut opslaan"
"Save Attribute Set","Attributenset opslaan"
"Save Category","Categorie opslaan"
"Save Search","Zoekopdracht opslaan"
"Saved ","Saved "
"Scope","Scope"
"Search","Zoeken"
"Search Engine Optimizations","Search Engine Optimalisatie (SEO)"
"Search Information","Zoekinformatie"
"Search Query","Zoek-query"
"Search Term was successfully saved","Zoekterm is met succes opgeslagen"
"Search Term with such search query already exist.","Zoekterm met zo'n query bestaat al."
"Search was successfully deleted","Zoekopdracht is met succes verwijderd"
"Searchable","Doorzoekbaar"
"Select Configurable Attributes ","Select Configurable Attributes "
"Select type of option","Type-optie selecteren"
"Select type options required values rows.","Rijen verplichte waarden voor type-opties selecteren"
"Selected Product Types","Producttypen selecteren"
"Selected configuration is not available.","Geselecteerde configuratie is niet beschikbaar"
"Send Count","Telling versturen"
"Set Ascending Direction","Van laag naar hoog sorteren"
"Set Descending Direction","Van hoog naar laag sorteren"
"Set Name","Naam instellen"
"Set Root Category For Store","Basiscategorie voor winkel instellen"
"Set root category for this store in the <a href=""%s"">configuration</a>","Basiscategorie instellen voor deze winkel in de <a href=""%s"">configuratie</a>"
"Set special price","Aanbiedingprijs instellen"
"Set/Get current store view","Huidige winkelzicht ophalen/instellen"
"Settings","Instellingen"
"Shop by","Winkelen per"
"Shopping Options","Selectie verfijnen"
"Show","Toon"
"Show Details","Details tonen"
"Show Tags","Tags tonen"
"Simple Product","Simpel product"
"Site Map","Sitemap"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Sla importeren van rij over, “%s” is geen geldige waarde voor veld “%s”"
"Skip import row, required field ""%s"" for new customer not defined","Sla importeren van rij over, benodigd veld “%s” voor nieuwe klanten niet opgegeven"
"Skip import row, required field ""%s"" for new products not defined","Sla importeren van rij over, benodigd veld “%s” voor nieuwe producten niet opgegeven"
"Skip import row, required field ""%s"" not defined","Sla importeren van rij over, benodigd veld “%s” niet opgegeven"
"Skip import row, store ""%s"" field not exists","Sla importeren van rij over, winkel “%s” veld bestaat niet"
"Sort Order","Sorteervolgorde"
"Sort by","Sorteer op"
"Source Model","Bron model"
"Special Price:","Speciale prijs:"
"Starting at:","Beginnend op:"
"Static","Statisch"
"Static block and products","Statisch blok en producten"
"Static block only","Alleen statisch blok"
"Status","Status"
"Stock Availability","Beschikbaarheid voorraad:"
"Store","Winkel"
"Store View","Winkelzicht"
"Stretch","Uitrekken"
"Subscribe to Feed","Abonneren op Feed"
"Subscribe to RSS Feed","Abonneren op RSS-feed"
"Super product attributes configuration","Configuratie super-productattributen"
"Synonym For","Synoniem voor"
"Synonym for","Synoniem voor"
"System","Systeem"
"System Properties","Systeemeigenschappen"
"Tag Name","Tag-naam"
"Tax","BTW"
"Text","Tekst"
"Text Area","Tekstvak"
"Text Field","Tekstveld"
"There are no %s available.","Er is geen %s beschikbaar."
"There are no customers for this alert","Er zijn geen klanten voor deze waarschuwing"
"There are no products matching the selection.","Er komen geen producten overeen met de selectie."
"There was an error while adding products to websites","Er was een fout tijdens het toevoegen van producten aan websites"
"There was an error while cleared compare list","Er was een fout tijdens het toevoegen van producten aan websites"
"There was an error while removing products from websites","Er was een fout tijdens het verwijderen van producten van websites"
"There was an error while updating product(s) attributes","Er was een fout tijdens het updaten van productattribuut(pen)"
"There was an error while updating product(s) status","Er was een fout tijdens het updaten van de product status"
"This attribute no longer exists","Dit attribuut bestaat niet meer"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Deze groep bevat attributen die gebruikt worden in configureerbare producten. Verplaats deze attributen naar een andere groep en probeer opnieuw a.u.b."
"This group contains system attributes. Please move system attributes to another group and try again.","Deze groep bevat systeemattributen. Verplaats de systeemattributen naar een andere groep en probeer opnieuw a.u.b."
"This is a required option","This is a required option"
"This search no longer exists","Deze zoekactie bestaat niet meer"
"Tier Pricing","Staffelprijzen"
"Tile","Tegel"
"Time format","Time format"
"Title","Titel"
"Top/Left","Bovenaan/links"
"Top/Right","Bovenaan/rechts"
"Total Qty Base Items","Totaal aantal basis-artikelen"
"Total incl. Tax: %1$s","Totaal incl. BYTW %1s"
"Total of %d record(s) were successfully deleted","In totaal is/zijn er %s record(s) met succes verwijderd"
"Total of %d record(s) were successfully updated","In totaal is/zijn er %s record(s) met succes bijgewerkt"
"Type","Type"
"Unable to complete request. Please try again later.","Kon de opdracht niet voltooien. Probeer later opnieuw a.u.b."
"Unable to find a search term to delete","Kon geen zoekterm vinden om te verwijderen"
"Unable to find an attribute to delete","Kon geen attribuut vinden om te verwijderen"
"Unable to get product id.","Kon geen product-id krijgen."
"Unassigned Attributes","Niet-toegewezen attributen"
"Unique Value","Unieke waarde"
"Unique Value (not shared with other products)","Unieke waarde (niet gedeeld met andere producten)"
"Unknown attribute: %s","Onbekend attribuut: %s"
"Up-sells","Up-sells"
"Update","Update"
"Update Attributes","Attributen updaten"
"Update Tier Price","Staffelprijs bijwerken"
"Update assigned product","Toegewezen product updaten"
"Update attributes","Atttributen updaten"
"Update category","Categorie updaten"
"Update product","Product updaten"
"Update product image","Productafbeelding updaten"
"Update product link","Productlink updaten"
"Update product tier prices","Staffelprijzen product updaten"
"Upload new product image ","Upload new product image "
"Url","URL"
"Url Rewrite Management","Beheer URL-rewrites"
"Url rewrie save problem.","Opslagprobleem URL-rewrite"
"Use Config Settings","Configuratie-instellingen gebruiken"
"Use Default Value","Standaardwaarden gebruiken"
"Use Flat Catalog Category","Use Flat Catalog Category"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Use In Layered Navigation","Gebruik in gelaagde navigatie"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Gebruiken in gelaagde navigatie<br />(alleen mogelijk met catalogus-veldtype ‘Dropdown’)"
