"%s already exist","%s已存在"
"%s already exists","%s已存在"
"-- Please Select --","--請選擇-- "
"Global","全站"
"HTML Head","HTML Head"
"Header","Header"
"Host","主機"
"Id path for specified store","指定商店的編號路徑"
"Incorrect credit card expiration date","Incorrect credit card expiration date"
"Invalid base url type","Invalid base url type "
"Invalid block name to set child %s: %s","設置%s: %s的方框名不正確"
"Invalid block type: %s","方框類型不正確：%s "
"Invalid block: %s","方框不正確：%s "
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","版面更新參數不正確，必須是Mage_Core_Model_Layout_Element "
"Invalid layout update handle","版面更新句柄不正確"
"Invalid messages storage ""%s"" for layout messages initialization","版面初始信息的""%s""信息存儲不正確"
"Invalid transactional email code: ","交易郵件代碼不正確： "
"Invalid websites configuration path: %s","網站配置路徑不正確：%s "
"Layout","版面"
"Layouts","Layouts"
"Leave empty for access from any location","留空為從任何地方存取"
"Locale","本地化"
"Locale options","本地化選項"
"Log Settings","Log Settings"
"Logging from Mage::log(). File is located in�{{base_dir}}/var/log","Logging from Mage::log(). File is located in�{{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in�{{base_dir}}/var/log","Logging from Mage::logException(). File is located in�{{base_dir}}/var/log"
"Logo Image Alt","Logo Image Alt"
"Logo Image Src","Logo Image Src"
"Manage Stores","管理商店"
"Match expressions in the same order as displayed in the configuration.","Match expressions in the same order as displayed in the configuration."
"Miscellaneous HTML","Miscellaneous HTML"
"Miscellaneous scripts","Miscellaneous scripts"
"Model class does not exist: %s","型號類不存在：%s "
"Model collection resource name is not defined","型號組合資源名未定義"
"Module ""%1$s"" can not be depended from ""%2$s""","Module ""%1$s"" can not be depended from ""%2$s"""
"Module ""%1$s"" requires module ""%2$s""","Module ""%1$s"" requires module ""%2$s"""
"Name","名稱"
"New Design Change","新界面設計"
"New Store","新商店"
"New Store View","新商店界面"
"New Website","新網站"
"No","No"
"Package","安裝包"
"Please choose to register or to checkout as a guest","Please choose to register or to checkout as a guest"
"Please define flag code.","Please define flag code."
"Please enter 6 or more characters.","請輸入6個或更多字符。 "
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","請輸入6個或更多字符，前後空格將被忽略。 "
"Please enter a number greater than 0 in this field.","請在該欄輸入0以上數字。 "
"Please enter a valid $ amount. For example $100.00.","請輸入正確的金額。例如，$100.00 "
"Please enter a valid URL. For example http://www.example.com or www.example.com","請輸入正確的網址。例如http://www.example.com或www.example.com "
"Please enter a valid URL. http:// is required","請輸入正確的網址，要帶http:// "
"Please enter a valid credit card number.","請輸入正確的信用卡號碼。 "
"Please enter a valid date.","請輸入正確的日期。 "
"Please enter a valid email address. For example johndoe@domain.com.","請輸入正確的電子郵件地址。例如johndoe@domain.com "
"Please enter a valid number in this field.","請在該欄目輸入正確的數字。 "
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","請輸入電話號碼。例如(123) 456-7890或123-456-7890. "
"Please enter a valid social security number. For example 123-45-6789.","請輸入正確的社會保險號。例如123-45-6789 "
"Please enter a valid zip code.","請輸入正確的郵編。 "
"Please enter a valid zip code. For example 90602 or 90602-1234.","請輸入正確的郵編。例如90602或90602-1234 "
"Please enter valid password.","請輸入正確的密碼。 "
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/"
"Please make sure your passwords match.","請確認密碼一致。 "
"Please select State/Province.","請選擇省份。 "
"Please select an option.","請選擇。 "
"Please select one of the above options.","請在上面選擇。 "
"Please select one of the options.","請選擇。 "
"Please specify payment method.","Please specify payment method."
"Please specify shipping method.","Please specify shipping method."
"Please use letters only (a-z or A-Z) in this field.","Please use letters only (a-z or A-Z) in this field."
"Please use letters only (a-z) in this field.","請在該欄目中僅輸入字母(a-z)。 "
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","請在該欄目中僅使用數字，不要輸入空格或點等字符。 "
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","請在該欄目中僅使用字母(az)或數字(0-9)，不要輸入空格或其它字符。 "
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","請在該欄目中僅使用字母(az)、數字(0-9)、空格或# "
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","請在該欄目中僅使用字母(az)、數字(0-9)、下劃線(_)，第一個字符必須為字母。 "
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","請使用日期格式：dd/mm/yyyy，例如17/03/2006表示2006年3月17日"
"Please wait, loading...","請稍候，加載中... "
"Polls","Polls"
"Port (25)","端口(25) "
"Profiler","配置器"
"Prototype Deprecation Log","Prototype Deprecation Log"
"Request path for specified store","需要輸入商店的路徑"
"Requested invalid store ""%s""","Requested invalid store ""%s"""
"Resource is not set","資源未設置"
"Root Category","根分類"
"SMTP settings (Windows server only)","SMTP設置(僅限Windows主機) "
"Sales representative","業務部"
"Save","保存"
"Save Store","保存商店"
"Save Store View","保存商店界面"
"Save Website","保存網站"
"Search Engines Optimization","搜索引擎優化"
"Secure","安全"
"Security","Security"
"Select Date","Select Date"
"Sender email","發件人地址"
"Sender name","發件人姓名"
"Services","服務"
"Session Cookie management","Session Cookie管理"
"Session Lifetime, Seconds","Session Lifetime, Seconds"
"Session Validation Settings","Session Validation Settings"
"Set as default","Set as default"
"Skin (Images / CSS)","皮膚(圖像/CSS) "
"Sort order","排序"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Specified date/time ""%1$s"" do not match format ""%2$s""."
"Specify either category or product, or both.","Specify either category or product, or both."
"Start date can't be greater than end date","Start date can't be greater than end date "
"Startup page","Startup page"
"Status","狀態"
"Store","商店"
"Store Email Addresses","商店的電子郵件"
"Store Information","商店信息"
"Store Name","商店名稱"
"Store View","Store View"
"Store View Information","商店界面信息"
"Store View Name","商店界面名稱"
"Store View was successfully saved","成功保存商店界面"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","商店代碼只能含字母(az)、數字(0-9)或下劃線(_)，第一個字符必須是字母"
"Store doesn't exist","Store doesn't exist"
"Store view doesn't exist","Store view doesn't exist"
"Store view was successfully deleted.","Store view was successfully deleted."
"Store was successfully deleted.","成功刪除商店。 "
"Store was successfully saved","成功保存商店"
"Store with the same code","商店代碼重複"
"System","系統"
"System Log File Name","System Log File Name"
"Template Path Hints","模板路徑提示"
"Templates","模板"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format."
"Themes","主題"
"This category and all its child elements","This category and all its child elements"
"This category and its child categories only","This category and its child categories only"
"This category and its products only","This category and its products only"
"This category only","僅限該分類"
"This is a required field.","這是必填字段。 "
"This store cannot be deleted","This store cannot be deleted"
"This store cannot be deleted.","This store cannot be deleted."
"This store view cannot be deleted","This store view cannot be deleted"
"This store view cannot be deleted.","This store view cannot be deleted."
"This website cannot be deleted","This website cannot be deleted"
"This website cannot be deleted.","This website cannot be deleted."
"This will be displayed just before body closing tag","This will be displayed just before body closing tag"
"This will be included before head closing tag in page HTML","This will be included before head closing tag in page HTML"
"Timezone","時區"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Translate Inline","Translate Inline"
"Translate cache should be disabled for both Frontend and Admin inline translations","Translate cache should be disabled for both Frontend and Admin inline translations"
"Translations","翻譯"
"Unable to delete store view. Please, try again later.","Unable to delete store view. Please, try again later."
"Unable to delete store. Please, try again later.","Unable to delete store. Please, try again later."
"Unable to delete website. Please, try again later.","Unable to delete website. Please, try again later."
"Unable to proceed. Please, try again","無法繼續，請稍後再試。 "
"Unknown scope ""%s""","未知範圍""%s"" "
"Unsecure","未加密"
"Url Options","Url Options"
"Use HTTP Only","Use HTTP Only"
"Use Secure URLs in Admin","管理界面使用安全鏈接"
"Use Secure URLs in Frontend","前台使用安全鏈接"
"Use Web Server Rewrites","使用服務器網址重寫"
"Use custom admin URL","Use custom admin URL"
"Validate HTTP_USER_AGENT","Validate HTTP_USER_AGENT"
"Validate HTTP_VIA","Validate HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validate HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validate REMOTE_ADDR"
"Values less than 60 are ignored.","Values less than 60 are ignored."
"Web","網站"
"Website","網站"
"Website Information","網站信息"
"Website Name","網站名稱"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","網站代碼只能含字母(az)、數字(0-9)或下劃線(_)，第一個字符必須是字母"
"Website doesn't exist","Website doesn't exist"
"Website was successfully deleted.","成功刪除網站。 "
"Website was successfully saved","成功保存網站"
"Website with the same code","網站代碼重複"
"Weekend Days","Weekend Days"
"Welcome Text","Welcome Text"
"Wrong number of arguments for %s","%s的參數數量錯誤"
"Yes","Yes"
"Your order can not be completed at this time as there is no payment methods available for it.","Your order can not be completed at this time as there is no payment methods available for it."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address."
"Your session has been expired, you will be relogged in now.","您的session超時，現在重寫登錄。 "
"Search","搜尋"
"Go","Go"
"Search entire store here...","Search entire store here..."
"Compare Products","Compare Products"
"Back to Main Product Info","Back to Main Product Info"
"You have no items to compare.","You have no items to compare."
"Clear All","Clear All"
"Search entire store here...","Search entire store here..."
"Search","搜尋"
"About the calendar","About the calendar"
"For latest version visit: %s","For latest version visit: %s"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Date selection:","Date selection:"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"Time selection:","Time selection:"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"Go Today","Go Today"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Select date","Select date"
"Drag to move","Drag to move"
"Close","Close"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"Time:","Time:"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
