"* Required Fields","* Obavezna polja"
"Customer Group","Grupa korisnika"
"Customer Group was successfully deleted","Grupa korisnika je uspješno obrisana"
"Customer Group was successfully saved","Grupa korisnika je uspješno spremljena"
"Customer Groups","Grupe korisnika"
"Customer Information","Podaci o korisnika"
"Customer Login","Login korisnika"
"Customer Since","Korisnik od"
"Customer View","Customer View"
"Customer collection expected","Customer collection expected"
"Customer doesn't have primary billing address","Korisnik nema osnovnu adresu naplate"
"Customer email already exists","Email korisnika već postoji"
"Customer website id must be specified, when using website scope.","Customer website id must be specified, when using website scope."
"Customers","Korisnici"
"Customers Only","Samo korisnici"
"Customers Section","Customers Section"
"DD","DD"
"Date","Datum"
"Date Added","Datum dodan"
"Date of Birth","Date of Birth"
"Date of Birth is required.","Date of Birth is required."
"Day","Day"
"Days in Wishlist","Dana u Listi želja"
"Default Addresses","Osnovne adrese"
"Default Billing Address","Osnovne adrese za naplatu"
"Default Email Domain","Osnovna email domena"
"Default Group","Osnovna grupa"
"Default Shipping Address","Osnovna adresa za isporuku"
"Default Welcome Email","Default Welcome Email"
"Delete","Obriši"
"Delete Address","Obriši adresu"
"Delete Customer","Obriši korisnika"
"Delete Customer Group","Obriši grupu korisnika"
"Delete customer","Delete customer"
"Delete customer address","Delete customer address"
"Deleted Stores","Obriši trgovine"
"Details","Detalji"
"Disabled","Onemogućeno"
"Edit","Promijeni"
"Edit Account Info","Edit Account Info"
"Edit Account Information","Promijeni podatke o korisničkom računu"
"Edit Address","Promijeni adresu"
"Edit Address Entry","Promijeni adresu"
"Edit Customer Group ""%s""","Promijeni grupu korisnika ""%s"""
"Edit Customer Groups","Promijeni grupe korisnika"
"Edit Customer's Address","Promijeni adresu korisnika"
"Edit Group","Promijeni grupu"
"Edit Newsletter Subscription","Ažuriraj pretplatu na newsletter"
"Edit Newsletters","Ažuriraj newsletter"
"Edit Personal Information","Promijeni osobne podatke"
"Email","Email"
"Email Address","Email adresa"
"Email Sender","Email pošiljatelj"
"Entity collection is expected","Entity collection is expected"
"Error during retrieval of option value: %s","Error during retrieval of option value: %s"
"Ext. Price","Iznos"
"Failed to confirm customer account.","Failed to confirm customer account."
"Fax","Faks"
"First Name","Ime"
"First name can't be empty","First name can't be empty"
"Forgot Email Sender","Forgot Email Sender"
"Forgot Email Template","Forgot Email Template"
"Forgot Your Password?","Zaboravili ste lozinku?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Na nadzornoj ploči vašeg profila možete vidjeti snimku vaših aktivnosti na websiteu te mogućnost da ažurirate vaše podatke. Odaberite link za pregled aktivnosti ili ažuriranje podataka."
"General Subscription","Opća pretplata na newsletter"
"Global","Globalno"
"Go to Address Book","Idi na imenik"
"Grand Total","Sveukupno"
"Grand Total: %s","Sveukupno: %s"
"Group","Grupa"
"Group ""%s"" can not be deleted","Grupa ""%s"" nemože biti obrisana"
"Group Information","Podaci o grupi"
"Group Name","Naziv grupe"
"Guest","Gost"
"HTML","HTML"
"Hello, %s!","Dobrodošli, %s!"
"ID","ID"
"IP Address","IP adresa"
"If you have an account with us, please log in.","Ako kod nas imate korisnički račun, molim ulogirajte se."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Invalid attribute option specified for attribute %s (%s), skipping the record"
"Invalid attribute set specified, skipping the record","Invalid attribute set specified, skipping the record"
"Invalid current password","Trenutna lozinka nije ispravna"
"Invalid customer data","Podaci o kupcu su neispravni"
"Invalid email address","Neispravna email adresa"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid login or password.","Invalid login or password."
"Invalid option id specified for %s (%s), skipping the record","Invalid option id specified for %s (%s), skipping the record"
"Invalid store specified, skipping the record","Navedena trgovina je neispravna, spremanje je preskočeno"
"Items Order","Items Order"
"Last 5 Orders","Zadnjih 5 narudžbi"
"Last Activity","Zadnje aktivnosti"
"Last Name","Prezime"
"Last Url","Zadnji URL"
"Last Viewed Items","Zadnji pregledani artikli"
"Last date subscribed","Zadnji datum pretplate"
"Last date unsubscribed","Zadnji datum poništenja pretplate"
"Last name can't be empty","Last name can't be empty"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Lifetime Sales","Dosadašnja prodaja"
"Log In","Logirajte se"
"Log Out","Odjava"
"Log in or Create an Account","Log in or Create an Account"
"Login","Logirajte se"
"Login Information","Podaci za logiranje"
"Login and password are required","Obavezni su login i lozinka"
"Login or Create an Account","Logirajte se ili kreirajte korisnički račun"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","Upravljanje adresama"
"Manage Customers","Upravljanje korisnicima"
"Missing email, skipping the record","Nedostaje email, preskačem zapis"
"Missing firstname, skipping the record","Nedostaje ime, preskačem zapis"
"Missing lastname, skipping the record","Nedostaje prezime, preskačem zapis"
"Month","Month"
"My Account","Moj profil"
"My Account Dashboard","My Account Dashboard"
"My Dashboard","Moja nadzorna ploča"
"My Orders","Moje narudžbe"
"My Reviews","Moje recenzije"
"My Tags","Moje oznake"
"My Wishlist","Moja lista želja"
"Name","Ime"
"Name and Address Options","Name and Address Options"
"Never","Nikad"
"New Address","Nova adresa"
"New Address Entry","Novi adresni zapis"
"New Customer","Novi korisnik"
"New Customer Address","Nova adresa korisnika"
"New Customer Group","Nova grupa korisnika"
"New Customer Groups","Nove grupe korisnika"
"New Customers","Novi korisnici"
"New Group","Nova grupa"
"New Password","Nova lozinka"
"New account","Novi korisnički račun"
"New account confirmation key","New account confirmation key"
"New account confirmed","New account confirmed"
"New password","New password"
"Newsletter","Newsletter Finish"
"Newsletter Finish","Newsletter kraj"
"Newsletter Information","Informacije o newsletter-u"
"Newsletter Received","Stigao je newsletter"
"Newsletter Start","Newsletter početak"
"Newsletter Subscription","Prijava na newsletter"
"Newsletters","Newsletteri"
"No Items Found","Nije nađen niti jedan artikl"
"No Newsletter Found","Nije pronađen niti jedan newsletter"
"No item specified.","No item specified."
"No product collections found","Nisu pronađene kolekcije proizvoda"
"Not Sent","Nije poslano"
"Not confirmed, can login","Not confirmed, can login"
"Not confirmed, cannot login","Not confirmed, cannot login"
"Number of lines in a street address ","Number of lines in a street address "
"Offline","Offline"
"Online","Online"
"Online Customers","Online korisnici"
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
"Order #","Narudžba #"
"Order #%s (%s)","Narudžba #%s (%s)"
"Order List...","Lista narudžbi..."
"Order Total","Ukupno naručeno"
"Orders","Narudžbe"
"PDF","PDF"
"Password","Lozinka"
"Password Management","Upravljlanje lozinkama"
"Password Options","Opcije lozinke"
"Password can't be empty","Password can't be empty"
"Password fields can't be empty.","Password fields can't be empty."
"Password forgotten","Password forgotten"
"Password minimal length must be more %s","Password minimal length must be more %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Lozinka mora imati barem 6 znakova. Prazna prva i zadnja polja će biti zanemarena."
"Paused","Paused"
"Payment Method","Način plaćanja"
"Pending","U tijeku"
"Per Website","Po web stranici"
"Personal Information","Osobni podaci"
"Please enter your email below and we'll send you a new password.","Molim, unesite vaš email pa ćemo vam poslati novu lozinku."
"Please enter your email below and we'll send you confirmation link for it.","Please enter your email below and we'll send you confirmation link for it."
"Please enter your email.","Molim, unesite vaš email."
"Please make sure your passwords match.","Molim, provjerite dali su lozinke jednake."
"Please select","Molim, odaberite."
"Please select region, state or province","Molim odaberite županiju/regiju"
"Please, check your e-mail for confirmation key.","Please, check your e-mail for confirmation key."
"Prefix","Prefix"
"Prefix dropdown options","Prefix dropdown options"
"Price","Cijena"
"Primary Billing Address","Osnovna adresa za naplatu"
"Primary Shipping Address","Osnovna adresa za dostavu"
"Problem saving the collection, aborting. Error: %s","Problem saving the collection, aborting. Error: %s"
"Product","Proizvod"
"Product ID","ID proizvoda"
"Product Name","Naziv proizvoda"
"Product Reviews","Recenzije proizvoda"
"Product Tags","Oznake proizvoda"
"Product name","Naziv proizvoda"
"Purchase On","Purchase On"
"Purchased at","Purchased at"
"Qty","Kol."
"Recent Orders","Nedavne narudžbe"
"Records for ""","Podaci za """
"Refunded","Refundirano"
"Registered Customers","Registrirani korisnici"
"Remove","Ukloni"
"Require Emails Confirmation","Require Emails Confirmation"
"Retrieve address data","Retrieve address data"
"Retrieve address info","Retrieve address info"
"Retrieve customer addresses","Retrieve customer addresses"
"Retrieve customer data","Retrieve customer data"
"Retrieve customer's groups","Retrieve customer's groups"
"Retrieve customers","Retrieve customers"
"Retrieve customers info","Retrieve customers info"
"Retrieve your confirmation link here","Retrieve your confirmation link here"
"Retrieve your password here","Dohvatite vašu lozinku ovdje"
"SKU","SKU"
"Sales Statistics","Statistički podaci o prodaji"
"Save","Spremi"
"Save Address","Spremi adresu"
"Save And Continue Edit","Save And Continue Edit"
"Save Customer","Spremi korisnika"
"Save Customer Group","Spremi grupu korisnika"
"Save Password","Spremi lozinku"
"Saved ","Spremljeno"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Send Welcome Email after Confirmation","Send Welcome Email after Confirmation"
"Send auto-generated password","Pošalji generiranu lozinku"
"Send confirmation link","Send confirmation link"
"Send welcome email","Pošalji email dobrodošlice"
"Sending","Šaljem"
"Sent","Poslano"
"Session Start Time","Session Start Time"
"Set as Default Billing Address","Postavi kao osnovnu adresu naplate"
"Set as Default Shipping Address","Postavi kao osnovnu adresu isporuke"
"Share Customer Accounts","Share Customer Accounts"
"Ship to First name","Pošalji na ime"
"Ship to Last name","Pošalji na prezime"
"Shipped to First Name","Poslano na ime"
"Shipped to Last Name","Poslano na prezime"
"Shipped to Name","Poslano na naslov"
"Shipping Information","Podaci o isporuci"
"Shipping Method","Način isporuke"
"Shopping Cart","Košarica"
"Shopping Cart - %d item(s)","Košarica - %d stavki"
"Show Tax/VAT number","Show Tax/VAT number"
"Show date of birth","Show date of birth"
"Show middle name (initial)","Show middle name (initial)"
"Show prefix","Show prefix"
"Show suffix","Show suffix"
"Sign Up for Newsletter","Ulogirajte se za newsletter"
"Sign up for our newsletter","Ulogirajte se za naš newsletter"
"Skip import row, required field ""%s"" not defined","Preskačem uvoz slogova, potrebno polje ""%s"" nije definirano"
"Skip import row, website ""%s"" field not exists","Preskačem uvoz slogova, polje web stranice ""%s"" ne postoji"
"State/Province","Država"
"Status","Status"
"Store","Trgovina"
"Store View","Izlog"
"Street Address","Adresa"
"Street Address ","Street Address "
"Subject","Predmet"
"Submit","Pošalji"
"Subscribe","Prijavite se"
"Subscribe to newsletter","Prijavite se na newsletter"
"Subscribed to Newsletter?","Prijavljeni na newsletter?"
"Suffix","Suffix"
"Suffix dropdown options","Suffix dropdown options"
"TAX/VAT number is required.","TAX/VAT number is required."
"Tag Name","Naziv oznake"
"Tax Class","Porezna klasa"
"Tax class","Porezna klasa"
"Tax/VAT number","Tax/VAT number"
"Telephone","Telefon"
"Text","Tekst"
"Text One Line","Jedna linija teksta"
"Thank you for registering with %s","Zahvaljujemo na registraciji %s"
"The address does not belong to this customer","Adresa ne pripada ovom kupcu"
"The address was successfully deleted","Adresa je uspješno obrisana"
"The address was successfully saved","Adresa je uspješno spremljena"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"There are no items in customer's wishlist at the moment","Trenutno u korisničkoj listi želja nema artikala"
"There are no items in customer's shopping cart at the moment","Trenutno u korisničkoj košarici nema artikala"
"There was an error while deleting the address","Dogodila se greška prilikom brisanja adrese"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","This Email will be sent instead of Default Welcome Email, after Account Confirmation."
"This account is not confirmed.","This account is not confirmed."
"This customer has no saved addresses.","Ovaj kupac nema upisanih adresa"
"This e-mail does not require confirmation.","This e-mail does not require confirmation."
"This email address was not found in our records","Ovaj email ne postoji u našoj evidenciji"
"This is My Primary %s Address","Ovo je moja osnovna %s adresa"
"To Cart","U košaricu"
"Total","Ukupno"
"Type","Tip"
"Unknown","Nepoznato"
"Unsubscribe from newsletter","Ukini pretplatu na newsletter"
"Update","Ažuriraj"
"Update customer address data","Update customer address data"
"Update customer data","Update customer data"
"Use as My Primary %s Address","Koristi kao moju osnovnu %s adresu"
"Use as my default billing address","Ažuriraj moju osnovnu adresu za naplatu"
"Use as my default shipping address","Moja osnovna adresa za isporuku"
"User description","Opis korisnika"
"View","Pregledaj"
"View Order","Pregledaj narudžbu"
"View Order List","Pregledaj listu narudžbi"
"Visible In","Visible In"
"Visitor","Posjetitelj"
"Visitors Only","Samo posjetitelji"
"Website","Web stranica"
"Welcome Email","Welcome Email"
"Wishlist","Lista želja"
"Wishlist - %d item(s)","Lista želja - %d artikala"
"Wrong confirmation key.","Wrong confirmation key."
"Wrong customer account specified.","Wrong customer account specified."
"Wrong email.","Wrong email."
"Wrong region id by selected country","Pogrešan ID regije za odabranu zemlju"
"Wrong transactional account email type.","Wrong transactional account email type."
"XML","XML"
"YYYY","YYYY"
"Year","Year"
"You are currently not subscribed to any newsletter.","Niste na listi pretplatnika za newsletter"
"You are currently not subscribed to our newsletter","Niste na listi pretplatnika za naš newsletter"
"You are currently subscribed to 'General Subscription'.","Trenutno ste na listi pretplatnika"
"You are currently subscribed to our newsletter","Trenutno ste na listi pretplatnika za naš newsletter"
"You are currently subscribed to our newsletter.","Trenutno ste na listi pretplatnika za naš newsletter."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Uspješno ste se izlogirali i biti će napravljena redirekcija na osnovnu stranicu za 5 sekundi."
"You have no additional address entries in your address book.","Nemate dodatnih zapisa o adresi u vašem imeniku."
"You have no additional entries in your address book.","Nemate dodatnih zapisa u vašem imeniku."
"You have no default billing address in your address book.","Nemate osnovnu adresu naplate u vašem imeniku."
"You have no default shipping address in your address book.","Nemate osnovnu adresu isporuke u vašem imeniku."
"You have no primary entries in your address book.","Nemate osnovnih zapisa u vašem imeniku."
"You have not set a primary billing address.","Niste upisali osnovnu adresu naplate."
"You have not set a primary shipping address.","Niste upisali osnovnu adresu isporuke."
"You have placed no orders yet.","Još uvijek nemate narudžbi."
"You have placed no products yet.","You have placed no products yet."
"You're now Logged Out","Sada ste izlogirani."
"Your account balance is: %s","Stanje na vašem korisničkom računu je: %s"
"ZIP","Poštanski broj"
"ZIP/Post Code","Poštanski broj"
"ZIP/Postal Code","Poštanski broj"
"Zip/Postal Code","Poštanski broj"
"n/a","n/a"
"or","ili"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"First name can't be empty","First name can't be empty"
"Last name can't be empty","Last name can't be empty"
"Password can't be empty","Password can't be empty"
"My Account","My Account"
"Log In","Log In"
"New Customers","New Customers"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Registered Customers","Registered Customers"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Email Address","Email Address"
"Password","Password"
"* Required Fields","* Required Fields"
"Forgot Your Password?","Forgot Your Password?"
"Retrieve your password here","Retrieve your password here"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"Back to Login","Back to Login"
"Submit","Submit"
"My Dashboard","My Dashboard"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
"Contact Information","Contact Information"
"Address Book","Address Book"
"Account Information","Account Information"
"Thank you for registering with %s","Thank you for registering with %s"
"Newsletter Subscription","Newsletter Subscription"
"You have not set a default billing address.","You have not set a default billing address."
"You have not set a default shipping address.","You have not set a default shipping address."
"Login or Create an Account","Login or Create an Account"
"Personal Information","Personal Information"
"Sign Up for Newsletter","Sign Up for Newsletter"
"You are currently not subscribed to any newsletter.","You are currently not subscribed to any newsletter."
"Default Shipping Address","Default Shipping Address"
"Login","Login"
"Invalid login or password.","Invalid login or password."
"Edit Account Information","Edit Account Information"
"Log Out","Log Out"
"First Name","First Name"
"Last Name","Last Name"
