"%s already exist","%s já existe"
"%s already exists","%s já existe"
"-- Please Select --","-- Escolla --"
"Store Email Addresses","Gardar enderezo de correo electrónico"
"Store Information","Gardar información"
"Store Name","Nome da tenda"
"Store View","Visualización da tenda"
"Store View Information","Información da visualización da tenda"
"Store View Name","Nome da visualización da tenda"
"Store View was successfully saved","Vista de Loja corectamente guardada"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","O código da Loja apenas pode conter letras (a-z), números (0-9) ou sublinhado (_), o primeiro carácter deve ser uma letra"
"Store doesn't exist","Store doesn't exist"
"Store view doesn't exist","A visualización da tenda non existe"
"Store view was successfully deleted.","Store view was successfully deleted."
"Store was successfully deleted.","A Loja foi correctamente removida"
"Store was successfully saved","A Loja foi correctamente guardada"
"Store with the same code","Tenda co mesmo código"
"System","Sistema"
"System Log File Name","Nome do ficheiro de rexistro do sistema"
"Template Path Hints","Suxestións de ruta para o modelo"
"Templates","Modelos"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","O %s que introduciu non é correcto. Asegúrese de que segue o formato ""http://dominio.com/""."
"Themes","Temas"
"This category and all its child elements","Esta categoría e todos os seus elementos fillo"
"This category and its child categories only","Só esta categoría e as súas categorías fillas"
"This category and its products only","Só esta categoría e os seus produtos"
"This category only","Só esta categoría"
"This is a required field.","Este é un campo obrigatorio."
"This store cannot be deleted","This store cannot be deleted"
"This store cannot be deleted.","Non se pode eliminar esta tenda."
"This store view cannot be deleted","This store view cannot be deleted"
"This store view cannot be deleted.","Non se pode eliminar a visualización desta tenda."
"This website cannot be deleted","This website cannot be deleted"
"This website cannot be deleted.","Non se pode eliminar este sitio web."
"This will be displayed just before body closing tag","This will be displayed just before body closing tag"
"This will be included before head closing tag in page HTML","This will be included before head closing tag in page HTML"
"Timezone","Fuso horario"
"Title Prefix","Prefixo do título"
"Title Suffix","Sufixo do título"
"Translate Inline","Tradución en liña"
"Translate cache should be disabled for both Frontend and Admin inline translations","Translate cache should be disabled for both Frontend and Admin inline translations"
"Translations","Traducións"
"Unable to delete store view. Please, try again later.","Non se puido borrar a visualización da tenda. Ténteo de novo máis tarde."
"Unable to delete store. Please, try again later.","Non se puido borrar a tenda. Ténteo de novo máis tarde."
"Unable to delete website. Please, try again later.","Non se puido borrar a web. Ténteo de novo máis tarde."
"Unable to proceed. Please, try again","Non se puido procesar. Ténteo de novo"
"Unknown scope ""%s""","Espaço desconhecido ""%s"""
"Unsecure","Inseguro"
"Url Options","Opcións do URL"
"Use HTTP Only","Usar só HTTP"
"Use Secure URLs in Admin","Usar URLs seguros na administración"
"Use Secure URLs in Frontend","Usar URLs seguros no Frontend"
"Use Web Server Rewrites","Usar Rewrites do servidor web"
"Use custom admin URL","Use custom admin URL"
"Validate HTTP_USER_AGENT","Validar HTTP_USER_AGENT"
"Validate HTTP_VIA","Validar HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validar HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validar REMOTE_ADDR"
"Values less than 60 are ignored.","Values less than 60 are ignored."
"Web","Web"
"Website","Sitio web"
"Website Information","Información do sitio web"
"Website Name","Nome do sitio web"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","O código do Site apenas pode conter letras (a-z), números (0-9) ou sublinhado (_), o primeiro carácter deve ser uma letra"
"Website doesn't exist","Website doesn't exist"
"Website was successfully deleted.","Site correctamente removido."
"Website was successfully saved","Site correctamente guardado"
"Website with the same code","Sitio web co mesmo código"
"Weekend Days","Días de fin de semana"
"Welcome Text","Texto de benvida"
"Wrong number of arguments for %s","Número de argumentos incorrecto para %s"
"Yes","Si"
"Your order can not be completed at this time as there is no payment methods available for it.","Your order can not be completed at this time as there is no payment methods available for it."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address."
"Your session has been expired, you will be relogged in now.","Caducou a súa sesión, debe reiniciar a sesión agora."
"Search","Search"
"Go","Go"
"Search entire store here...","Search entire store here..."
"Compare Products","Compare Products"
"Back to Main Product Info","Back to Main Product Info"
"You have no items to compare.","You have no items to compare."
"Clear All","Clear All"
"Search entire store here...","Search entire store here..."
"Search","Search"
"About the calendar","About the calendar"
"For latest version visit: %s","For latest version visit: %s"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Date selection:","Date selection:"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"Time selection:","Time selection:"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"Go Today","Go Today"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Select date","Select date"
"Drag to move","Drag to move"
"Close","Close"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"Time:","Time:"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
