"-- Please Select --","-- Lütfen Seçiniz --"
"Add New Class","Sınıf Ekle"
"Excl. Tax:","Vergi Hariç :"
"Excluding tax","Vergi Hariç"
"Export Tax Rates","Vergi oranlarını dışarı aktar"
"Ignored when 'Apply Tax After Discount' option is enabled","'Vergiyi Indirimden Sonra Uygula' seçeneği aktif olduğunda gözardı edilir"
"Import / Export Tax Rates","Vergi oranlarını Al/Ver"
"Import Tax Rates","Vergi oranlarını Al"
"Inc. Tax","Vergi Dahil"
"Incl. Tax","Vergi Dahil"
"Incl. Tax:","Vergi Dahil:"
"Including and excluding tax","Vergi Dahil / Hariç"
"Including tax","Vergi Dahil"
"Incorrect rate Data","Hatalı oran bilgisi"
"Invalid data for tax rate calculation","Hesaplama için hatalı oran bilgisi"
"Invalid file format upload attempt","Yüklemeye çalıştığınız dosyanın biçim geçersiz"
"Invalid file upload attempt","Hatalı dosya yükleme işlemi"
"Manage Customer Tax Classes","Müşteri Vergi Sınıflarını Yönet"
"Manage Product Tax Classes","Ürün Vergi Sınıflarını Yönet"
"Manage Tax Rates","Vergi Oranlarını Yönet"
"Manage Tax Rules","Vergi Kurallarını Yönet"
"Manage Tax Zones & Rates","Vergi Alanlarını ve Oranlarını Yönet"
"Name","İsim"
"New Class","Yeni Sınıf"
"New Rule","Yeni Kural"
"New Tax Rate","Yeni Vergi Oranı"
"None","Hiçbiri"
"One of the country has invalid code.","Ülkelerden birinin kodu hatalı."
"Original price only","Sadece orjinal fiyat"
"Please select Country","Lütfen Ülke Seçiniz"
"Please select County","Lütfen Bölge Seçiniz"
"Please select State","Lütfen Şehir Seçiniz"
"Priority","Önem"
"Product Tax Class","Ürün Vergi Sınıfı"
"Product Tax Class Information","Ürün Vergi Sınıfı Bilgisi"
"Product Tax Classes","Ürün Vergi Sınıfları"
"Rate","Oran"
"Reset","Sıfırla"
"Sales","Satışlar"
"Save Class","Sınıfı Kaydet"
"Save Rate","Oranı Kaydet"
"Save Rule","Kuralı Kaydet"
"Shipping prices include tax","Teslimat fiyatlarına vergi dahil"
"Sort Order","Sıralama"
"State","Şehir"
"State/Region","Şehir"
"Tax","Vergi"
"Tax Based On","Vergi Nedeni"
"Tax Class for Shipping","Teslimat için Vergi Sınıfı"
"Tax Classes","Vergi Sınıfları"
"Tax Identifier","Vergi Tanımlayıcısı"
"Tax Rate","Vergi Oranı"
"Tax Rate Information","Vergi Oranı Bilgisi"
"Tax Rule Information","Vergi Kuralı Bilgisi"
"Tax Rules","Vergi Kuralları"
"Tax Section","Vergi Bölümü"
"Tax Titles","Vergi İsimleri"
"Tax class was successfully deleted","Vergi sınıfı silindi"
"Tax class was successfully saved","Vergi sınıfı kaydedildi"
"Tax rate was successfully deleted","Vergi oranı silindi"
"Tax rate was successfully imported","Vergi oranı bilgisi alındı"
"Tax rate was successfully saved","Vergi oranı kaydedildi"
"Tax rates at the same priority are added, others are compounded.","Aynı önemdeki vergi oranları eklendi, diğerleri birleştirildi."
"Tax rule was successfully deleted","Vergi kuralı silindi"
"Tax rule was successfully saved","Vergi kuralı kaydedildi"
"This class no longer exists","Seçtiğiniz sınıf bulunamıyor"
"This rule no longer exists","Seçtiğiniz kural bulunamıyor"
"XML","XML"
"You cannot delete this tax class as it is used for %d customer groups.","%d  müşteri grubu tarafından kullanılan bu vergi sınıfını silemezsiniz."
"You cannot delete this tax class as it is used for %d products.","%d  ürün tarafından kullanılan bu vergi sınıfını silemezsiniz."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Bu vergi sınıfı vergi kurallarında kullanıldığı için silinemez. Önce bu sınıfla ilişkili kuralları silmelisiniz."
"Zip/Post Code","Zip/Posta Kodu"
