"%s already exist","%s existent déjà"
"%s already exists","%s existe déjà"
"-- Please Select --","-- Votre choix --"
"This store view cannot be deleted.","Cette vue magasin ne peut pas être effacée."
"This website cannot be deleted","Ce site web ne peut pas être effacé"
"This website cannot be deleted.","Ce site web ne peut pas être effacé."
"This will be displayed just before body closing tag","Ceci sera affiché juste avant la balise de fermeture de body"
"This will be included before head closing tag in page HTML","Ceci sera inclus avant la fermeture du tag head dans la page HTML"
"Timezone","Fuseau horaire"
"Title Prefix","Préfixe du titre"
"Title Suffix","Suffixe du titre"
"Translate Inline","Traduire en ligne"
"Translate cache should be disabled for both Frontend and Admin inline translations","Le cache des traductions doit être désactivé pour les traductions en ligne"
"Translations","Traductions"
"Unable to delete store view. Please, try again later.","Impossible de supprimer la vue magasin. Veuillez réessayer ultérieurement."
"Unable to delete store. Please, try again later.","Impossible de supprimer le magasin. Veuillez réessayer ultérieurement."
"Unable to delete website. Please, try again later.","Impossible de supprimer le site web. Veuillez réessayer ultérieurement."
"Unable to proceed. Please, try again","Impossible de continuer. Veuillez réessayer ultérieurement."
"Unknown scope ""%s""","Portée ""%s"" inconnue"
"Unsecure","Non sécurisé"
"Url Options","Options d'URL"
"Use HTTP Only","Utiliser le HTTP uniquement"
"Use Secure URLs in Admin","Utiliser des URLs sécurisées dans l'administration"
"Use Secure URLs in Frontend","Utiliser des URLs sécurisées sur le frontend"
"Use Web Server Rewrites","Utiliser les réécriture du serveur web"
"Use custom admin URL","Utiliser une URL d'admin personnalisée"
"Validate HTTP_USER_AGENT","Valider HTTP_USER_AGENT"
"Validate HTTP_VIA","Valider HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Valider HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Valider REMOTE_ADDR"
"Values less than 60 are ignored.","Les valeurs inférieures à 60 sont ignorées"
"Web","Web"
"Website","Site web"
"Website Information","Informations site web"
"Website Name","Nom du site web"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Le site web ne doit contenir que des lettres (a-z), des chiffres (0-9) ou des underscores (_), et le premier caractère doit être une lettre"
"Website doesn't exist","Le site web n'existe pas"
"Website was successfully deleted.","Le site web a bien été supprimé"
"Website was successfully saved","Le site web a bien été sauvegardé"
"Website with the same code","Site web avec le même code"
"Weekend Days","Jours de weekend"
"Welcome Text","Texte de bienvenue"
"Wrong number of arguments for %s","Nombre d'arguments erroné pour %s"
"Yes","Oui"
"Your order can not be completed at this time as there is no payment methods available for it.","Impossible de terminer votre commande pour le moment, il n'y a pas de mode de paiement disponible."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Votre commande ne peut pas se poursuivre pour le moment car aucun mode de livraison n'est proposé. Veuillez changer votre adresse de livraison."
"Your session has been expired, you will be relogged in now.","Votre session a expiré, veuillez vous connecter à nouveau."
"Search","Rechercher"
"Go","Aller"
"Search entire store here...","Votre recherche..."
"Compare Products","Comparer les produits"
"Back to Main Product Info","Retour aux informations du produit"
"You have no items to compare.","Vous n'avez aucun produit à comparer"
"Clear All","Tout effacer"
"Search entire store here...","Search entire store here..."
"Search","Search"
"About the calendar","About the calendar"
"For latest version visit: %s","For latest version visit: %s"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Date selection:","Date selection:"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"Time selection:","Time selection:"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"Go Today","Go Today"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Select date","Select date"
"Drag to move","Drag to move"
"Close","Close"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"Time:","Time:"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
