"%s already exist","%s esiste già"
"%s already exists","%s esistono già"
"-- Please Select --","-- Selezionare --"
"Please enter a valid social security number. For example 123-45-6789.","Inserire un numero valido di previdenza sociale. Per esempio 123-45-6789."
"Please enter a valid zip code.","Inserire codice zip valido."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Inserire un codice zip valdio. Per esempio 90602 o 90602-1234."
"Please enter valid password.","Inserire una password valida."
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Assicurati che l'URL di Base termini con ""/"" (slash), es. http://tuodominio/magento/"
"Please make sure your passwords match.","Assicurati che le password corrispondano."
"Please select State/Province.","Selezionare Stato/Provincia."
"Please select an option.","Selezionare una opzione."
"Please select one of the above options.","Selezionare una delle opzioni soprastanti."
"Please select one of the options.","Selezionare una delle opzioni."
"Please specify payment method.","Specificare il metodo di pagamento."
"Please specify shipping method.","Specificare il metodo di spedizione."
"Please use letters only (a-z or A-Z) in this field.","Utilizzare solo lettere in questo campo (a-z o A-Z)."
"Please use letters only (a-z) in this field.","Utilizzare solo lettere in questo campo (a-z)."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Per favore usa numeri solo in questo campo. Per favore evita spazi o altri caratteri come punti o virgole."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Inserire solo lettere (a-z) o solo numeri (0-9) in questo campo. Non sono permessi spazi o altri caratteri."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Utilizzare solo lettere (a-z) o numeri (0-9) o spazi o solo # in questo campo."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Utilizzare solo lettere (a-z), numeri (0-9) o underscore(_) in questo campo, la prima lettera deve essere una lettera."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Utilizzare questo formato della data: dd/mm/yyyy. Per esempio 17/03/2006 per il 17 di Marzo, 2006."
"Please wait, loading...","Attendere prego, caricamento..."
"Polls","Sondaggi"
"Port (25)","Porta (25)"
"Profiler","Profilo"
"Prototype Deprecation Log","Log Svalutazione Campione"
"Request path for specified store","Percorso richiesto per i negozi specificati"
"Requested invalid store ""%s""","Negozio richiesto non valido ""%s"""
"Resource is not set","Risorsa non impostata"
"Root Category","Categoria Root"
"SMTP settings (Windows server only)","Opzioni SMTP (Solo per server windows)"
"Sales representative","Contatto Commerciale"
"Save","Salva"
"Save Store","Salva negozio"
"Save Store View","Salva vista negozio"
"Save Website","Salva sito web"
"Search Engines Optimization","Ottimizzazione motori di ricerca"
"Secure","Sicuro"
"Security","Sicurezza"
"Select Date","Seleziona data"
"Sender email","Email Mittente"
"Sender name","Nome Mittente"
"Services","Servizi"
"Session Cookie management","Gestione delle sessioni dei cookie"
"Session Lifetime, Seconds","Durata della Sessione, Secondi"
"Session Validation Settings","Impostazioni di convalida sessione"
"Set as default","Imposta come predefinito"
"Skin (Images / CSS)","Skin (Immagini / CSS)"
"Sort order","Ordinamento"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Data/ora indicate ""%1$s"" non corrispondono con il formato ""%2$s""."
"Specify either category or product, or both.","Specificare categoria o prodotto, oppure entrambi."
"Start date can't be greater than end date","La data d'inizio non può essere più grande di quella di fine"
"Startup page","Pagina d'inizio"
"Status","Stato"
"Store","Negozio"
"Store Email Addresses","Indirizzi email negozio"
"Store Information","Informazioni negozio"
"Store Name","Nome negozio"
"Store View","Vista negozio"
"Store View Information","Informazioni vista negozio"
"Store View Name","Nome vista negozio"
"Store View was successfully saved","Vetrina del Negozio salvata correttamente"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Il codice negozio deve contenere solo lettere (a-z), numeri (0-9) o underscore(_), il primo carattere deve essere una lettera"
"Store doesn't exist","Il Negozio non esiste"
"Store view doesn't exist","La vista negozio non esiste"
"Store view was successfully deleted.","Vetrina cancellata con successo."
"Store was successfully deleted.","Il negozio è stato eliminato correttamente."
"Store was successfully saved","Il negozio è stato salvato correttamente"
"Store with the same code","Negozio con lo stesso codice"
"System","Sistema"
"System Log File Name","Log nome file di sistema"
"Template Path Hints","Suggerimenti percorso template"
"Templates","Modelli"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Il %s che hai inserito non è valido. Assicurati che seuga il formato ""http://domain.com/""."
"Themes","Temi"
"This category and all its child elements","Questa categoria e tutti i suoi elementi figlio"
"This category and its child categories only","Solo questa categoria e i suoi elementi figlio"
"This category and its products only","Solo questa categoria e i suoi prodotti"
"This category only","Solo questa categoria"
"This is a required field.","Questo è un campo obbligatorio."
"This store cannot be deleted","Questo store non può essere cancellato"
"This store cannot be deleted.","Questo negozio non può essere cancellato."
"This store view cannot be deleted","Questa vetrina non può essere cancellata"
"This store view cannot be deleted.","Questa vista negozio non può essere cancellata."
"This website cannot be deleted","Questo sito non può essere cancellato"
"This website cannot be deleted.","Questo sito web non può essere cancellato."
"This will be displayed just before body closing tag","Questo sarà visualizzato appena prima del tag di chiusura del body"
"This will be included before head closing tag in page HTML","Questo verrà inserito prima del tag di chiusura dell head nella pagina HTML"
"Timezone","Fuso orario"
"Title Prefix","Prefisso titolo"
"Title Suffix","Suffisso titolo"
"Translate Inline","Traduci in linea"
"Translate cache should be disabled for both Frontend and Admin inline translations","Per la traduzione in linea, la cache dovrebbe essere disabilitata sia sul Frontend che nella sezione Admin"
"Translations","Traduzioni"
"Unable to delete store view. Please, try again later.","Impossibile cancellare la vista negozio. Riprovare più tardi."
"Unable to delete store. Please, try again later.","Impossibile cancellare il negozio. Riprovare più tardi."
"Unable to delete website. Please, try again later.","Impossibile cancellare il sito web. Riprovare più tardi."
"Unable to proceed. Please, try again","Impossibile procedere. Riprovare"
"Unknown scope ""%s""","Campo ""%s"" sconosciuto"
"Unsecure","Non sicuro"
"Url Options","Opzioni url"
"Use HTTP Only","Utilizza solo HTTP"
"Use Secure URLs in Admin","Utilizza Secure URL in Admin"
"Use Secure URLs in Frontend","Utilizza Secure URLs nel Frontend"
"Use Web Server Rewrites","Utilizza Web Server Rewrites"
"Use custom admin URL","Usa URL di Amministrazione personalizzato"
"Validate HTTP_USER_AGENT","Convalida HTTP_USER_AGENT"
"Validate HTTP_VIA","Convalida HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Convalida HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Convalida REMOTE_ADDR"
"Values less than 60 are ignored.","I valori inferiori a 60 vengono ignorati."
"Web","Web"
"Website","Sito web"
"Website Information","Informazioni sito web"
"Website Name","Nome sito web"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Il codice del Website deve contenere solo lettere (a-z), numeri (0-9) o underscore(_), il primo carattere deve essere una lettera"
"Website doesn't exist","Il Sito non esiste"
"Website was successfully deleted.","Website eliminato correttamente."
"Website was successfully saved","Il sito salvato con successo"
"Website with the same code","Sito web con lo stesso codice"
"Weekend Days","Giorni del Fine Settimana"
"Welcome Text","Testo di benvenuto"
"Wrong number of arguments for %s","Numero argomenti errato per %s"
"Yes","Si"
"Your order can not be completed at this time as there is no payment methods available for it.","Al momento l'ordine non può essere completato poichè non ci sono modalità di pagamento disponibili."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Al momento l'ordine non può essere completato poichè non ci sono modalità di spedizione disponibili. Effettua le modifiche necessarie al proprio indirizzo di spedizione."
"Your session has been expired, you will be relogged in now.","La tua sessione è scaduta, ora devi eseguire di nuovo l'accesso."
"Search","Cerca"
"Go","Go"
"Search entire store here...","Search entire store here..."
"Compare Products","Compare Products"
"Back to Main Product Info","Back to Main Product Info"
"You have no items to compare.","You have no items to compare."
"Clear All","Clear All"
"Search entire store here...","Search entire store here..."
"Search","Search"
"About the calendar","About the calendar"
"For latest version visit: %s","For latest version visit: %s"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Date selection:","Date selection:"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"Time selection:","Time selection:"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"Go Today","Go Today"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Select date","Select date"
"Drag to move","Drag to move"
"Close","Close"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"Time:","Time:"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
